File name;sequence;time parsed;rows inserted
/2014-2H/equity_pd/equitypricedump_OAX_2002.xml;24;25.03.2015 17:35;0
/2014-2H/equity_pd/equitypricedump_OAX_2003.xml;24;25.03.2015 17:35;0
/2014-2H/equity_pd/equitypricedump_OAX_2004.xml;24;25.03.2015 17:35;0
/2014-2H/equity_pd/equitypricedump_OAX_2005.xml;24;25.03.2015 17:35;0
/2014-2H/equity_pd/equitypricedump_OAX_2006.xml;24;25.03.2015 17:35;0
/2014-2H/equity_pd/equitypricedump_OAX_2007.xml;24;25.03.2015 17:35;2400
/2014-2H/equity_pd/equitypricedump_OAX_2008.xml;24;25.03.2015 17:38;7764
/2014-2H/equity_pd/equitypricedump_OAX_2009.xml;24;25.03.2015 17:41;7269
/2014-2H/equity_pd/equitypricedump_OAX_2010.xml;24;25.03.2015 17:44;7510
/2014-2H/equity_pd/equitypricedump_OAX_2011.xml;24;25.03.2015 17:48;8907
/2014-2H/equity_pd/equitypricedump_OAX_2012.xml;24;25.03.2015 17:50;8355
/2014-2H/equity_pd/equitypricedump_OAX_2013.xml;24;25.03.2015 17:51;8463
/2014-2H/equity_pd/equitypricedump_OAX_2014.xml;24;25.03.2015 17:52;8199
/2014-2H/equity_pd/equitypricedump_OB_1980.xml;24;25.03.2015 19:01;300404
/2014-2H/equity_pd/equitypricedump_OB_1990.xml;24;25.03.2015 20:42;441731
/2014-2H/equity_pd/equitypricedump_OB_2000.xml;24;25.03.2015 20:58;56534
/2014-2H/equity_pd/equitypricedump_OB_2001.xml;24;25.03.2015 21:16;56325
/2014-2H/equity_pd/equitypricedump_OB_2002.xml;24;25.03.2015 21:34;57664
/2014-2H/equity_pd/equitypricedump_OB_2003.xml;24;25.03.2015 21:41;59564
/2014-2H/equity_pd/equitypricedump_OB_2004.xml;24;25.03.2015 22:01;64127
/2014-2H/equity_pd/equitypricedump_OB_2005.xml;24;25.03.2015 22:21;69725
/2014-2H/equity_pd/equitypricedump_OB_2006.xml;24;25.03.2015 22:41;68969
/2014-2H/equity_pd/equitypricedump_OB_2007.xml;24;25.03.2015 23:06;88088
/2014-2H/equity_pd/equitypricedump_OB_2008.xml;24;25.03.2015 23:36;103644
/2014-2H/equity_pd/equitypricedump_OB_2009.xml;24;26.03.2015 00:11;101551
/2014-2H/equity_pd/equitypricedump_OB_2010.xml;24;26.03.2015 00:34;81324
/2014-2H/equity_pd/equitypricedump_OB_2011.xml;24;26.03.2015 00:56;77522
/2014-2H/equity_pd/equitypricedump_OB_2012.xml;24;26.03.2015 01:20;78139
/2014-2H/equity_pd/equitypricedump_OB_2013.xml;24;26.03.2015 01:45;98656
/2014-2H/equity_pd/equitypricedump_OB_2014.xml;24;26.03.2015 02:31;124571
/2014-2H/equityindex.xml;2;14.04.2015 13:43;8060
/2014-2H/equity/equityindex_2006.xml;23;14.04.2015 13:46;10795
/2014-2H/equity/equityindex_1980.xml;4;14.04.2015 13:46;755
/2014-2H/equity/equityindex_1990.xml;4;14.04.2015 14:00;42920
/2014-2H/equity/equityindex_2000.xml;4;14.04.2015 14:04;10542
/2014-2H/equity/equityindex_2001.xml;4;14.04.2015 14:06;10458
